Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,PHID,NPHI,VSH,Bulk Density,PE_filled
3,A1 SH,SHRIMPLIN,2793.0,77.45,0.664,9.9,11.915,4.6,1,1.0,6.964999999999999,16.865,0.19174019447238044,2.4534024999999997,Original
3,A1 SH,SHRIMPLIN,2793.5,78.26,0.661,14.2,12.565,4.1,1,0.979,5.465,19.665,0.19404788020546954,2.4426775,Original
3,A1 SH,SHRIMPLIN,2794.0,79.05,0.658,14.8,13.05,3.6,1,0.957,5.65,20.450000000000003,0.1962985860439144,2.434675,Original
3,A1 SH,SHRIMPLIN,2794.5,86.1,0.655,13.9,13.115,3.5,1,0.936,6.165,20.065,0.21638399890598603,2.4336024999999997,Original
3,A1 SH,SHRIMPLIN,2795.0,74.58,0.647,13.5,13.3,3.4,1,0.915,6.550000000000001,20.05,0.18356357959094133,2.4305499999999998,Original
3,A1 SH,SHRIMPLIN,2795.5,73.97,0.636,14.0,13.385,3.6,1,0.894,6.385,20.384999999999998,0.181825692804294,2.4291474999999996,Original
3,A1 SH,SHRIMPLIN,2796.0,73.72,0.63,15.6,13.93,3.7,1,0.872,6.13,21.73,0.18111344412124183,2.420155,Original
3,A1 SH,SHRIMPLIN,2796.5,75.65,0.625,16.5,13.92,3.5,1,0.83,5.67,22.17,0.18661200395440472,2.4203200000000002,Original
3,A1 SH,SHRIMPLIN,2797.0,73.79,0.624,16.2,13.98,3.4,1,0.809,5.880000000000001,22.08,0.18131287375249647,2.41933,Original
3,A1 SH,SHRIMPLIN,2797.5,76.89,0.615,16.9,14.22,3.5,1,0.787,5.770000000000001,22.67,0.19014475742234355,2.41537,Original
3,A1 SH,SHRIMPLIN,2798.0,76.11,0.6,14.8,13.375,3.6,1,0.766,5.975,20.775,0.1879225415312207,2.4293125,Original
3,A1 SH,SHRIMPLIN,2798.5,74.95,0.583,13.3,12.69,3.7,1,0.745,6.039999999999999,19.34,0.18461770764185859,2.4406149999999998,Original
3,A1 SH,SHRIMPLIN,2799.0,71.87,0.561,11.3,12.475,3.5,1,0.723,6.824999999999999,18.125,0.17584280386665568,2.4441625,Original
