Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,PHID,NPHI,VSH,Bulk Density,Predicted_PE
3,A1 SH,ALEXANDER D,2887.5,88.71,0.612,6.7,10.605,,1,1.0,7.255000000000001,13.955,0.22381987515705082,2.4750175000000003,3.7756600000000007
3,A1 SH,ALEXANDER D,2888.0,92.71,0.583,11.0,12.515,,1,0.974,7.015000000000001,18.015,0.2352158540858858,2.4435025,3.569999999999997
3,A1 SH,ALEXANDER D,2888.5,94.54,0.579,12.0,13.41,,1,0.949,7.41,19.41,0.24042951444582783,2.428735,3.4626499999999982
3,A1 SH,ALEXANDER D,2889.0,95.31,0.579,11.5,13.75,,1,0.923,8.0,19.5,0.24262324038962854,2.423125,3.4478199999999983
3,A1 SH,ALEXANDER D,2889.5,93.79,0.572,10.3,13.405,,1,0.897,8.254999999999999,18.555,0.23829276839667127,2.4288175,3.3307599999999993
3,A1 SH,ALEXANDER D,2890.0,86.0,0.547,9.7,12.92,,1,0.872,8.07,17.77,0.21609909943276517,2.43682,3.2927799999999987
3,A1 SH,ALEXANDER D,2890.5,83.66,0.531,9.9,12.75,,1,0.846,7.8,17.7,0.2094324517593967,2.439625,3.3509099999999994
2,A1 SH,ALEXANDER D,2891.0,84.96,0.516,10.0,12.71,,1,0.821,7.710000000000001,17.71,0.21313614491126806,2.440285,3.3270099999999996
2,A1 SH,ALEXANDER D,2891.5,88.93,0.515,9.4,13.51,,1,0.795,8.809999999999999,18.21,0.2244466539981368,2.427085,3.2022800000000005
3,A1 SH,ALEXANDER D,2892.0,91.35,0.521,7.4,15.33,,1,0.769,11.629999999999999,19.03,0.2313412212500819,2.397055,3.1684799999999997
3,A1 SH,ALEXANDER D,2892.5,92.43,0.521,7.4,16.65,,1,0.744,12.95,20.349999999999998,0.23441813556086738,2.3752750000000002,3.1752000000000002
3,A1 SH,ALEXANDER D,2893.0,92.39,0.526,7.6,16.89,,1,0.718,13.09,20.69,0.23430417577157903,2.3713149999999996,3.1911100000000006
2,A1 SH,ALEXANDER D,2893.5,91.94,0.526,4.6,16.31,,1,0.692,14.009999999999998,18.61,0.23302212814208506,2.3808849999999997,2.9454000000000007
2,A1 SH,ALEXANDER D,2894.0,88.21,0.525,2.9,15.33,,1,0.667,13.88,16.78,0.22239537779094645,2.397055,3.0120700000000005
2,A1 SH,ALEXANDER D,2894.5,83.2,0.524,1.9,14.215,,1,0.641,13.265,15.165,0.2081219141825807,2.4154525,3.0415000000000014
2,A1 SH,ALEXANDER D,2895.0,78.23,0.513,3.0,13.495,,1,0.615,11.995,14.995,0.19396241036350326,2.4273325,3.1236500000000005
2,A1 SH,ALEXANDER D,2895.5,74.22,0.5,5.0,11.365,,1,0.59,8.865,13.865,0.1825379414873462,2.4624774999999994,3.2337599999999997
2,A1 SH,ALEXANDER D,2896.0,72.36,0.48,6.6,10.045,,1,0.564,6.745,13.344999999999999,0.17723881128543795,2.4842574999999996,3.3934299999999977
2,A1 SH,ALEXANDER D,2896.5,72.84,0.465,7.2,9.62,,1,0.538,6.02,13.219999999999999,0.17860632875689814,2.49127,3.3939899999999983
2,A1 SH,ALEXANDER D,2897.0,74.19,0.455,8.0,9.64,,1,0.513,5.640000000000001,13.64,0.18245247164537992,2.4909399999999997,3.3887999999999976
2,A1 SH,ALEXANDER D,2897.5,76.62,0.449,8.8,10.5,,1,0.487,6.1,14.9,0.1893755288446472,2.47675,3.3355099999999993
2,A1 SH,ALEXANDER D,2898.0,81.29,0.449,9.2,12.785,,1,0.462,8.185,17.384999999999998,0.202680334244062,2.4390475,3.254150000000001
2,A1 SH,ALEXANDER D,2898.5,85.5,0.461,9.9,13.55,,1,0.436,8.600000000000001,18.5,0.21467460206666078,2.426425,3.45212
2,A1 SH,ALEXANDER D,2899.0,88.29,0.476,10.3,13.985,,1,0.41,8.834999999999999,19.134999999999998,0.2226232973695232,2.4192475,3.6499200000000007
2,A1 SH,ALEXANDER D,2899.5,91.3,0.484,9.7,13.965,,1,0.385,9.115,18.814999999999998,0.23119877151347148,2.4195775,3.489970000000001
3,A1 SH,ALEXANDER D,2900.0,82.0,0.49,8.3,13.335,,1,0.359,9.185,17.485,0.2047031205039302,2.4299725,3.311069999999999
3,A1 SH,ALEXANDER D,2900.5,71.62,0.49,7.5,12.88,,1,0.333,9.13,16.630000000000003,0.1751305551836035,2.43748,3.2077800000000023
2,A1 SH,ALEXANDER D,2901.0,67.4,0.483,7.2,12.685,,1,0.308,9.085,16.285,0.16310779741368261,2.4406975,3.189930000000002
3,A1 SH,ALEXANDER D,2901.5,65.4,0.476,7.5,12.325,,1,0.282,8.575,16.075,0.15740980794926512,2.4466375,3.2339400000000005
9,A1 SH,ALEXANDER D,2902.0,64.21,0.471,10.2,10.935,,2,0.256,5.835000000000001,16.035,0.1540195042179367,2.4695725,5.933929999999999
9,A1 SH,ALEXANDER D,2902.5,63.82,0.467,11.2,10.655,,2,0.231,5.055,16.255,0.1529083962723753,2.4741924999999996,5.839299999999998
9,A1 SH,ALEXANDER D,2903.0,64.74,0.458,15.1,12.705,,2,0.205,5.155,20.255,0.15552947142600732,2.4403675000000002,5.8106399999999985
3,A1 SH,ALEXANDER D,2904.0,81.89,0.42,16.3,19.14,,1,0.154,10.99,27.29,0.20438973108338723,2.3341899999999995,3.383999999999998
3,A1 SH,ALEXANDER D,2904.5,83.53,0.371,14.9,19.16,,1,0.128,11.71,26.61,0.20906208244420957,2.3338599999999996,3.326649999999998
2,A1 SH,ALEXANDER D,2905.0,83.06,0.316,14.8,19.5,,1,0.103,12.1,26.9,0.20772305492007148,2.3282499999999997,3.267879999999999
2,A1 SH,ALEXANDER D,2905.5,81.58,0.279,15.7,19.945,,1,0.077,12.095,27.795,0.20350654271640253,2.3209075,3.243179999999999
3,A1 SH,ALEXANDER D,2906.0,77.83,0.272,17.3,19.285,,1,0.051,10.635,27.935000000000002,0.19282281247061975,2.3317975,3.185999999999999
3,A1 SH,ALEXANDER D,2906.5,65.11,0.279,15.2,17.42,,1,0.026,9.820000000000002,25.020000000000003,0.15658359947692457,2.36257,3.23195
9,A1 LM,ALEXANDER D,2907.0,32.58,0.29,10.3,14.52,,2,1.0,9.37,19.67,0.06390580083817425,2.41042,5.853169999999994
9,A1 LM,ALEXANDER D,2907.5,25.14,0.294,7.1,12.48,,2,0.985,8.93,16.03,0.04270928003054123,2.44408,5.701449999999995
